id,creation_date,title,tags,view_count,score,answer_count,comment_count
"79753701","2025-09-02 15:50:00","iOS 26 Safari - Web layouts are breaking due to fixed/sticky position elements getting shifted vertically","<css><ios><safari><mobile-safari><viewport>","36995","55","10","9"
"79754556","2025-09-03 11:49:52","My app bundle in Android Studio 2025.1.2 supports 16KB page size, but Google Play still reports that it doesn't","<android><android-studio><gradle><android-gradle-plugin><android-studio-narwhal>","35676","19","3","6"
"79686551","2025-07-01 20:06:22","App must target Android 15 (API level 35) or higher","<android><kivy><buildozer>","30330","12","8","0"
"79701500","2025-07-15 02:33:40","16KB memory page size for Flutter Android and ndkVersion requirement?","<android><flutter><android-ndk><16kb-page-size>","30089","17","3","0"
"79773642","2025-09-24 11:11:12","Your app must support 16 KB memory page sizes by November 1, 2025. How can i fix this issue in my app i have react native version 0.72.1","<android><react-native><16kb-page-size>","20450","5","3","0"
"79720577","2025-07-30 21:54:27","How to automatically approve/continue GitHub Copilot terminal commands in VS Code?","<visual-studio-code><github-copilot><vscode-copilot>","19637","10","3","6"
"79724825","2025-08-04 11:03:34","Some .so files not supported 16 kb","<android><kotlin><android-jetpack-compose><android-16>","18177","4","5","1"
"79761743","2025-09-11 09:37:40","YouTube video in WebView gives error code 153 on Android","<kotlin><webview><youtube><youtube-iframe-api>","15439","6","4","1"
"79702788","2025-07-16 00:16:58","CondaToSNonInteractiveError: Terms of Service have not been accepted","<docker><conda>","12524","15","3","6"
"79769936","2025-09-19 20:39:09","iOS 26 Glass Effect and toolbarColorScheme","<ios><swift><swiftui><ios26>","12419","12","3","1"
"79717434","2025-07-28 13:59:06","How to disable AI autocomplete in VS Code?","<visual-studio-code>","11641","8","4","4"
"79741535","2025-08-20 19:53:08","Android 16 KB page size support in a Flutter app","<android><flutter><dart><mobile><16kb-page-size>","10272","10","4","4"
"79763055","2025-09-12 14:22:09","What is ""Delphi xxx"" in TMS FNC Chart installer?","<delphi><tms><delphi-ide><tms-fnc><delphi-13-florence>","10239","1","0","4"
"79774806","2025-09-25 12:22:40","React Native Reanimated worklets issue after upgrading to Expo SDK 54","<react-native><expo><react-native-reanimated>","9510","8","2","0"
"79694185","2025-07-08 11:53:18","How to suppress Chrome GCM DEPRECATED_ENDPOINT errors when running Selenium WebDriver?","<python><selenium-webdriver><selenium-chromedriver><chrome-options>","9199","5","1","4"
"79725728","2025-08-05 07:16:52","How to suppress ""Restricted method called: java.lang.System::load"" warning when using native-platform in Gradle on JDK 22+","<java><android><flutter><gradle><build>","9174","3","3","0"
"79776559","2025-09-27 06:24:22","passlib bcrypt not working when deployed to render. ""ValueError: password cannot be longer than 72 bytes""","<reactjs><deployment><bcrypt><render.com>","8941","15","2","2"
"79775796","2025-09-26 10:47:22","Next.js: ""Cannot find module or type declarations for side-effect import of './globals.css'"" ts(2882)","<typescript><next.js><tailwind-css>","8811","25","3","12"
"79686691","2025-07-01 23:57:27","How do I add Icon Composer glass app icons to my existing pre-iOS 26 app (and support alternate glass icons)?","<ios><xcode><appicon><ios26><icon-composer>","8598","16","1","0"
